speaker_id,id,p_yes,answer_mass,prompt
301,conflict_301_c000010,0.991149638204006,0.9760546637699008,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
301,conflict_301_c000015,0.9990375104530748,0.9937833851436153,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
302,conflict_302_c000036,0.039938346348907645,0.9933519177138805,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
302,conflict_302_c000040,0.9872758075921818,0.97098418045789,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
303,conflict_303_c000064,0.9724124551457151,0.9855699762701988,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
306,conflict_306_c000146,0.9930416384681396,0.994417801965028,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
306,conflict_306_c000148,0.9989594639264994,0.9972477705450729,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
306,conflict_306_c000149,0.9986004721734886,0.9974829602288082,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
307,conflict_307_c000157,0.9947795375127163,0.9879194949753582,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
307,conflict_307_c000159,0.9704620831487888,0.9528459403663874,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
307,conflict_307_c000162,0.9453921623675173,0.8585561029613018,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
307,conflict_307_c000176,0.9728286935385321,0.9932411182671785,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000181,0.5428745216700835,0.9713976383209229,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000182,0.49219948999316615,0.9282549023628235,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000185,0.4687994746093065,0.9267368018627167,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000186,0.9755738223510927,0.9315226078033447,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000187,0.014174300687527952,0.9918838888406754,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
311,conflict_311_c000251,0.38122126629117464,0.994282990694046,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
312,conflict_312_c000260,0.9674102181014465,0.9736964665353298,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
314,conflict_314_c000291,0.25684153176507324,0.9597825706005096,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
314,conflict_314_c000293,0.9866744562207884,0.991337712854147,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
314,conflict_314_c000296,0.06325130997213328,0.9863142892718315,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
314,conflict_314_c000312,0.961535530057238,0.9678517952561378,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
314,conflict_314_c000325,0.839721003759847,0.9793816059827805,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
315,conflict_315_c000333,0.9746245777419001,0.9903447888791561,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
315,conflict_315_c000335,0.5234219529198841,0.9033129811286926,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
315,conflict_315_c000337,0.9546473632384043,0.9929914623498917,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
315,conflict_315_c000344,0.997676664413298,0.9984760105144233,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
315,conflict_315_c000345,0.9763082134869636,0.9928124118596315,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
318,conflict_318_c000389,0.7772837502011263,0.9460435658693314,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
321,conflict_321_c000428,0.15405912080741985,0.9534777998924255,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
321,conflict_321_c000434,0.00027806910537833045,0.9998036807519384,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
321,conflict_321_c000441,0.0010163833377533076,0.9995894480962306,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
323,conflict_323_c000475,0.6039278988071008,0.9063310921192169,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
323,conflict_323_c000480,0.9967519864552662,0.9935005577281117,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
327,conflict_327_c000548,0.37022808780197536,0.9938815534114838,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
328,conflict_328_c000562,0.8976849635551847,0.9928632229566574,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
328,conflict_328_c000563,0.9702385831293528,0.9819542299956083,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
328,conflict_328_c000564,0.95915303780415,0.9824592880904675,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
329,conflict_329_c000589,0.9251960463234689,0.9395964443683624,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
332,conflict_332_c000642,0.15103526005958035,0.9804660081863403,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
332,conflict_332_c000644,0.5389861866295161,0.8988159596920013,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
332,conflict_332_c000649,0.9996873679432742,0.9995767399959732,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
332,conflict_332_c000654,0.9936114143029852,0.9884195001795888,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
332,conflict_332_c000656,0.9019222165028312,0.9360809400677681,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
338,conflict_338_c000810,0.7310539103052551,0.9052328020334244,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
338,conflict_338_c000820,0.18712140820051437,0.9816662520170212,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
